sp,page_no_book,eq_no_book,,eq_type,eq_ty_n,level,state,region,eq_typ,eq,eq_transformed,equation,"V = f(D=1,H=10))",a,b,c,d,n,r_squared,remarks,eq_extra,dia_>,dia_<
Terminalia tomentosa,182,649,1-649,G,1,multi_catchment,Maharashtra,Sondad catchment- Bhandara district. The general volume equation was also used for Wadsa catchment (Chandrapur),G1,V=a+b*(D^2)*H,a+b*(D^2)*H,#NAME?,2.93,-0.00012,0.29302,,,41,0.9782,,,,
Terminalia tomentosa,182,649,1-649,L,12,catchment,Maharashtra,Sondad catchment- Bhandara district.,L12,V/D=a+b/D+c*D+d*(D^2),(a+b/D+c*D+d*(D^2))*D,(-1.610568+0.08383/D+10.522*D-3.72837*(D^2))*D,5.267,-1.610568,0.08383,10.522,-3.72837,224,0.9062,,,,
Terminalia tomentosa,182,650,1-650,L,12,catchment,Maharashtra,Wadsa catchment (Chandrapur),L12,V/D=a+b/D+c*D+d*(D^2),(a+b/D+c*D+d*(D^2))*D,(-0.39734+0.011283/D+4.7047*D+2.36964*(D^2))*D,6.688,-0.39734,0.011283,4.7047,2.36964,226,0.9114,,,,
Terminalia tomentosa,182,651,1-651,G,1,forest_division,Maharashtra,Melghat Forest Division,G1,V=a+b*(D^2)*H,a+b*(D^2)*H,#NAME?,3.776,-0.001546,0.377718,,,109,0.0324,,,,
Terminalia tomentosa,182,651,1-651,L,2,forest_division,Maharashtra,Melghat Forest Division,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.060344-1.569539*D+12.090296*D^2 ,10.581,0.060344,-1.569539,12.090296,,109,0.7572,,,,
Terminalia tomentosa,183,652,1-652,G,9,district,Orissa,Koraput district.,G9,V/((D^2)*H)=a+b*(D^2)*H+c/((D^2)*H),(a+b*(D^2)*H+c/((D^2)*H))*((D^2)*H),(0.361631+0.001864*(D^2)*H+0.001254/((D^2)*H))*((D^2)*H),3.804,0.361631,0.001864,0.001254,,98,0.11191,,,,
Terminalia tomentosa,183,652,1-652,L,2,multi_district,Orissa,"Koraput district. The local volume equation was also used for Sambalpur, Mayurbhanj and Balasore districts.",L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.05061-1.11994*D+8.77839*D^2 ,7.709,0.05061,-1.11994,8.77839,,289,0.97943,,,,
Terminalia tomentosa,183,653,1-653,L,8,multi_district,Uttar Pradesh,"Tarai Region-Saharanpur, Bijnore, Moradabad, Rampur, Bareilly, Pilibhit, Kheri, Bahraich, Gonda, Basti, Gorakhpur and Deoria districts.",L8,V/(D^2)=a+b/D+c/(D^2),(a+b/D+c/(D^2))*(D^2),(18.60799-2.85865/D+0.18149/(D^2))*(D^2),15.931,18.60799,-2.85865,0.18149,,76,0.7628,,,,
Terminalia tomentosa,183,654,1-654,L,9,forest_division,Uttar Pradesh,"Lansdowne forest division, (parts of Yamuna catchment).",L9,V/(D^2)=a+b/(D^2)+c/D+d*D,(a+b/(D^2)+c/D+d*D)*(D^2),(13.28405+0.08658/(D^2)-2.04096/D-3.58047*D)*(D^2),7.749,13.28405,0.08658,-2.04096,-3.58047,88,0.8251,,,,
Terminalia tomentosa,183,655,1-655,L,2,multi_district,Uttar Pradesh,Hill Region. The local volume equation was also used for rest of species for the area.,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.3845-3.45596*D+10.98759*D^2 ,7.916,0.3845,-3.45596,10.98759,,,,,,,
Terminalia tomentosa,183,656,1-656,L,6,multi_district,Uttar Pradesh,"Southern U.P.- Agra, Etawah, Jalaun, Jhansi, Lalitpur, Hamirpur, Banda, and Allahabad districts",L6,sqrt(V)=a+b*D+c*sqrt(D),(a+b*D+c*sqrt(D))^2,(0.41071+5.5139*D+2.59952*sqrt(D))^2,72.661,0.41071,5.51319,2.59952,,77,0.96188,,,,
Terminalia tomentosa,183,657,1-657,L,8,multi_district,West Bengal,"Purulia, Bankura and Midnapur districts",L8,V/(D^2)=a+b/D+c/(D^2),(a+b/D+c/(D^2))*(D^2),(9.4721-0.84158/D+0.022389/(D^2))*(D^2),8.653,9.4721,-0.84158,0.022389,,,,,,,
Terminalia tomentosa,183,658,1-658,G,1,multi_state,FAO Project Area,"Part of Andhra Pradesh, Madhya Pradesh, Uttar Pradesh, Kerala, Orissa and Tamil Nadu.",G1,V=a+b*(D^2)*H,a+b*(D^2)*H,#NAME?,2.858,-0.042,0.29,,,,,,,,
Terminalia tomentosa,183,658,1-658,L,2,multi_state,FAO Project Area,"Part of Andhra Pradesh, Madhya Pradesh, Uttar Pradesh, Kerala, Orissa and Tamil Nadu.",L2,V=a+b*D+c*D^2,a+b*D+c*D^2,#NAME?,5.54,-0.33,-0.526,6.396,,,,,,,
Terminalia tomentosa,184,659,1-659,G,1,forest_division,FAO Project Area,G-14 65) sheet Special survey,G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.23+0.306*(D^2)*H ,3.29,0.23,0.306,,,,,,,,
Terminalia tomentosa,184,660,1-660,L,10,multi_district,Nepal,Western parts,L10,log(V)=a+b*log(D),exp(a+b*log(D)),exp(1.93554+2.34815*log(D)),6.928,1.93554,2.34815,,,,,,,,
Terminalia myriocarpa,184,661,1-661,,,,,,,,,,,,,,,,,,,,
Terminalia myriocarpa,185,662,1-662,,,,,,,,,,,,,,,,,,,,
Terminalia myriocarpa,185,663,1-663,,,,,,,,,,,,,,,,,,,,
Terminalia myriocarpa,185,664,1-664,,,,,,,,,,,,,,,,,,,,
Terminalia myriocarpa,185,665,1-665,,,,,,,,,,,,,,,,,,,,
Terminalia paniculata,186,666,1-666,L,2,district,Karnataka,Kodagu district.,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.13100-1.87132*D+9.47861*D^2,7.738,0.131,-1.87132,9.47861,,,,,,,
Terminalia paniculata,186,667,1-667,L,5,state,Goa,Goa survey,L5,sqrt(V)=a+b*D,(a+b*D)^2,(-0.351539+3.215392*D)^2 ,8.202,-0.351539,3.215392,,,,,UB upto 20cm dia,,,
Terminalia paniculata,186,667,1-667,L,5,state,Goa,Goa survey,L5,sqrt(V)=a+b*D,(a+b*D)^2,(-0.199035+3.21011*D)^2 ,9.067,-0.199035,3.21011,,,,,OB upto 5cm dia,,,
Terminalia procera,186,668,1-668,,,,,,,,,,,,,,,,,,,,
Terminalia procera,186,669,1-669,,,,,,,,,,,,,,,,,,,,
Terminalia procera,186,670,1-670,,,,,,,,,,,,,,,,,,,,
Terminalia species,187,671,1-671,L,3,multi_district,Assam,Assam survey (15 districts),L3,V=a+b*D+c*D^2+d*D^3,a+b*D+c*D^2+d*D^3,0.50603-6.64203*D+25.23882*D^2+9.19797*D^3 ,28.301,0.50603,-6.64203,25.23882,9.19797,24,0.99828,,,,
Tetrameles nudiflora,187,672,1-672,,,,,,,,,,,,,,,,,,,,
Tetrameles nudiflora,187,673,1-673,,,,,,,,,,,,,,,,,,,,
Tetrameles nudiflora,187,674,1-674,,,,,,,,,,,,,,,,,,,,
Toona ciliata/Cedrela toona,188,675,1-675,,,,,,,,,,,,,,,,,,,,
Toona ciliata/Cedrela toona,188,676,1-676,,,,,,,,,,,,,,,,,,,,
Toona ciliata/Cedrela toona,188,677,1-677,,,,,,,,,,,,,,,,,,,,
Toona ciliata/Cedrela toona,188,678,1-678,,,,,,,,,,,,,,,,,,,,
Trewia nudifiora,189,679,1-679,,,,,,,,,,,,,,,,,,,,
Tsuga dumosa,189,680,1-680,,,,,,,,,,,,,,,,,,,,
Tsuga dumosa,189,681,1-681,,,,,,,,,,,,,,,,,,,,
Tsuga dumosa,190,682,1-682,,,,,,,,,,,,,,,,,,,,
Tsuga brunoniana,190,683,1-683,,,,,,,,,,,,,,,,,,,,
Tsuga brunoniana,190,684,1-684,,,,,,,,,,,,,,,,,,,,
Tsuga brunoniana,190,685,1-685,,,,,,,,,,,,,,,,,,,,
Vateria indica,191,686,1-686,,,,,,,,,,,,,,,,,,,,
Vateria indica,191,687,1-687,,,,,,,,,,,,,,,,,,,,
Vitex peduncularis,191,688,1-688,,,,,,,,,,,,,,,,,,,,
Vitex peduncularis,192,689,1-689,,,,,,,,,,,,,,,,,,,,
Wrightia tinctoria,192,690,1-690,,,,,,,,,,,,,,,,,,,,
Wrightia tinctoria,192,691,1-691,,,,,,,,,,,,,,,,,,,,
Wrightia tinctoria,192,692,1-692,,,,,,,,,,,,,,,,,,,,
Xerospermum glabratum,193,693,1-693,,,,,,,,,,,,,,,,,,,,
Xylia xylocarpa,193,694,1-694,,,,,,,,,,,,,,,,,,,,
Xylia xylocarpa,193,695,1-695,,,,,,,,,,,,,,,,,,,,
Xylia xylocarpa,194,696,1-696,,,,,,,,,,,,,,,,,,,,
Xylia xylocarpa,194,697,1-697,,,,,,,,,,,,,,,,,,,,
Xylia xylocarpa,194,698,1-698,,,,,,,,,,,,,,,,,,,,
Zanthoxylum rhetsa,194,699,1-699,,,,,,,,,,,,,,,,,,,,
Zizyphus xylopyra,195,700,1-700,,,,,,,,,,,,,,,,,,,,
NA,195,701,1-701,,,,,,,,,,,,,,,,,,,,
NA,196,702,1-702,,,,,,,,,,,,,,,,,,,,
NA,196,703,1-703,,,,,,,,,,,,,,,,,,,,
NA,196,704,1-704,,,,,,,,,,,,,,,,,,,,
NA,196,705,1-705,,,,,,,,,,,,,,,,,,,,
NA,196,706,1-706,,,,,,,,,,,,,,,,,,,,
NA,196,707,1-707,,,,,,,,,,,,,,,,,,,,
NA,196,708,1-708,,,,,,,,,,,,,,,,,,,,
NA,196,709,1-709,,,,,,,,,,,,,,,,,,,,
NA,196,710,1-710,,,,,,,,,,,,,,,,,,,,
NA,196,711,1-711,,,,,,,,,,,,,,,,,,,,
NA,197,712,1-712,,,,,,,,,,,,,,,,,,,,
NA,197,713,1-713,,,,,,,,,,,,,,,,,,,,
NA,197,714,1-714,,,,,,,,,,,,,,,,,,,,
NA,197,715,1-715,,,,,,,,,,,,,,,,,,,,
NA,198,716,1-716,,,,,,,,,,,,,,,,,,,,
NA,198,717,1-717,,,,,,,,,,,,,,,,,,,,
NA,198,718,1-718,,,,,,,,,,,,,,,,,,,,
NA,198,719,1-719,,,,,,,,,,,,,,,,,,,,
NA,198,720,1-720,,,,,,,,,,,,,,,,,,,,
NA,198,721,1-721,,,,,,,,,,,,,,,,,,,,
NA,198,722,1-722,,,,,,,,,,,,,,,,,,,,
NA,198,723,1-723,,,,,,,,,,,,,,,,,,,,
NA,198,724,1-724,,,,,,,,,,,,,,,,,,,,
NA,199,725,1-725,,,,,,,,,,,,,,,,,,,,
NA,199,726,1-726,,,,,,,,,,,,,,,,,,,,
NA,199,727,1-727,,,,,,,,,,,,,,,,,,,,
NA,199,728,1-728,,,,,,,,,,,,,,,,,,,,
NA,199,729,1-729,,,,,,,,,,,,,,,,,,,,
NA,199,730,1-730,,,,,,,,,,,,,,,,,,,,
NA,199,731,1-731,,,,,,,,,,,,,,,,,,,,
NA,199,732,1-732,,,,,,,,,,,,,,,,,,,,
NA,200,733,1-733,,,,,,,,,,,,,,,,,,,,
NA,200,734,1-734,,,,,,,,,,,,,,,,,,,,
NA,200,735,1-735,,,,,,,,,,,,,,,,,,,,
NA,200,736,1-736,,,,,,,,,,,,,,,,,,,,
NA,200,737,1-737,,,,,,,,,,,,,,,,,,,,
NA,200,738,1-738,,,,,,,,,,,,,,,,,,,,
NA,201,739,1-739,,,,,,,,,,,,,,,,,,,,
NA,201,740,1-740,,,,,,,,,,,,,,,,,,,,
NA,201,741,1-741,,,,,,,,,,,,,,,,,,,,
NA,201,742,1-742,,,,,,,,,,,,,,,,,,,,
NA,202,743,1-743,,,,,,,,,,,,,,,,,,,,
NA,202,744,1-744,,,,,,,,,,,,,,,,,,,,
NA,202,745,1-745,,,,,,,,,,,,,,,,,,,,
NA,202,746,1-746,,,,,,,,,,,,,,,,,,,,
NA,202,747,1-747,,,,,,,,,,,,,,,,,,,,
NA,202,748,1-748,,,,,,,,,,,,,,,,,,,,
NA,203,749,1-749,,,,,,,,,,,,,,,,,,,,
NA,203,750,1-750,,,,,,,,,,,,,,,,,,,,
NA,203,751,1-751,,,,,,,,,,,,,,,,,,,,
NA,203,752,1-752,,,,,,,,,,,,,,,,,,,,
Aphanamixis polystachya/ Amoora Canarana,204,1,2-001,,,,,,,,,,,,,,,,,,,,
Callophyllum elatum/tomentosum,204,2,2-002,,,,,,,,,,,,,,,,,,,,
Canarium strictum,205,3,2-003,,,,,,,,,,,,,,,,,,,,
Dipterocarpus indicus,205,4,2-004,,,,,,,,,,,,,,,,,,,,
Dysoxylum malabaricum,206,5,2-005,,,,,,,,,,,,,,,,,,,,
Euphoria longana,206,6,2-006,,,,,,,,,,,,,,,,,,,,
Ficus nervosa,206,7,2-007,,,,,,,,,,,,,,,,,,,,
Garcinia cambogia,207,8,2-008,,,,,,,,,,,,,,,,,,,,
Garcinia morella,207,9,2-009,,,,,,,,,,,,,,,,,,,,
Holigarna beddomei,207,10,2-010,,,,,,,,,,,,,,,,,,,,
Holigarna grahmii,208,11,2-011,,,,,,,,,,,,,,,,,,,,
Kingiodendron pinnatum/Hardwickia pinnata,208,12,2-012,,,,,,,,,,,,,,,,,,,,
Lansium anamallayanum,209,13,2-013,,,,,,,,,,,,,,,,,,,,
Mastixia arborea,209,14,2-014,,,,,,,,,,,,,,,,,,,,
Myristica magnifica,209,15,2-015,,,,,,,,,,,,,,,,,,,,
Palaquim ellipticum,210,16,2-016,,,,,,,,,,,,,,,,,,,,
Persia macrantha/ Machilus macrantha,210,17,2-017,,,,,,,,,,,,,,,,,,,,
Symplocos spicata,211,18,2-018,,,,,,,,,,,,,,,,,,,,
Syzygium cumini,211,19,2-019,,,,,,,,,,,,,,,,,,,,
Vateria indica,211,20,2-020,,,,,,,,,,,,,,,,,,,,
Combined_overwood,212,21,2-021,,,,,,,,,,,,,,,,,,,,
Combined_underwood,213,22,2-022,,,,,,,,,,,,,,,,,,,,
Combined_tropical_rain_forest,213,23,2-023,,,,,,,,,,,,,,,,,,,,
Acacia auriculiformis,214,1,3-001,,,,,,,,,,,,,,,,,,,,
Acacia auriculiformis,214,2,3-002,,,,,,,,,,,,,,,,,,,,
Acacia auriculiformis,214,3,3-003,,,,,,,,,,,,,,,,,,,,
Acacia auriculiformis,214,4,3-004,,,,,,,,,,,,,,,,,,,,
Acacia auriculiformis,214,5,3-005,,,,,,,,,,,,,,,,,,,,
Acacia auriculiformis,215,6,3-006,,,,,,,,,,,,,,,,,,,,
Acacia auriculiformis,215,7,3-007,,,,,,,,,,,,,,,,,,,,
Acacia catechu,215,8,3-008,,,,,,,,,,,,,,,,,,,,
Acacia catechu,215,9,3-009,,,,,,,,,,,,,,,,,,,,
Acacia catechu,215,10,3-010,,,,,,,,,,,,,,,,,,,,
Acacia catechu,215,11,3-011,,,,,,,,,,,,,,,,,,,,
Acacia catechu,215,12,3-012,,,,,,,,,,,,,,,,,,,,
Adina cordifolia,216,13,3-013,,,,,,,,,,,,,,,,,,,,
Adina cordifolia and Lannea caromandelica,216,14,3-014,,,,,,,,,,,,,,,,,,,,
Albizia procera and Gmelina arborea,216,15,3-015,,,,,,,,,,,,,,,,,,,,
Alnus nepalensis,216,16,3-016,,,,,,,,,,,,,,,,,,,,
Alnus nepalensis,217,17,3-017,,,,,,,,,,,,,,,,,,,,
Alnus nepalensis,217,18,3-018,,,,,,,,,,,,,,,,,,,,
Alnus nepalensis,217,19,3-019,,,,,,,,,,,,,,,,,,,,
Alnus nepalensis,217,20,3-020,,,,,,,,,,,,,,,,,,,,
Alnus nepalensis,217,21,3-021,,,,,,,,,,,,,,,,,,,,
Alnus nepalensis,217,22,3-022,,,,,,,,,,,,,,,,,,,,
Alnus nepalensis,217,23,3-023,,,,,,,,,,,,,,,,,,,,
Alnus nepalensis,217,24,3-024,,,,,,,,,,,,,,,,,,,,
Alnus nepalensis,217,25,3-025,,,,,,,,,,,,,,,,,,,,
Amoora wallichii,218,26,3-026,,,,,,,,,,,,,,,,,,,,
Bombax insigne,218,27,3-027,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera,219,28,3-028,,,,,,,,,,,,,,,,,,,,
Careya arborea,219,29,3-029,,,,,,,,,,,,,,,,,,,,
Cedrus deodara,219,30,3-030,,,,,,,,,,,,,,,,,,,,
Chir-pine (Pinus roxburghii),220,31,3-031,,,,,,,,,,,,,,,,,,,,
Cleistanthus collinus,220,32,3-032,,,,,,,,,,,,,,,,,,,,
Cryptomeria japonica,220,33,3-033,,,,,,,,,,,,,,,,,,,,
Dalbergia latifolia,221,34,3-034,,,,,,,,,,,,,,,,,,,,
Dalbergia latifolia,221,35,3-035,,,,,,,,,,,,,,,,,,,,
Dalbergia sissoo,221,36,3-036,,,,,,,,,,,,,,,,,,,,
Dipterocarpus indicus,221,37,3-037,,,,,,,,,,,,,,,,,,,,
Dipterocarpus indicus,222,38,3-038,,,,,,,,,,,,,,,,,,,,
Duabanga sonneratioides and Sterculia alata,222,39,3-039,,,,,,,,,,,,,,,,,,,,
Duabanga sonneratioides,222,40,3-040,,,,,,,,,,,,,,,,,,,,
Eucalyptus camaldulensis,222,41,3-041,,,,,,,,,,,,,,,,,,,,
Eucalyptus camaldulensis,223,42,3-042,,,,,,,,,,,,,,,,,,,,
Eucalyptus camaldulensis,223,43,3-043,,,,,,,,,,,,,,,,,,,,
Eucalyptus camaldulensis,223,44,3-044,,,,,,,,,,,,,,,,,,,,
Eucalyptus camaldulensis,223,45,3-045,,,,,,,,,,,,,,,,,,,,
Eucalyptus camaldulensis,223,46,3-046,,,,,,,,,,,,,,,,,,,,
Eucalyptus camaldulensis,223,47,3-047,,,,,,,,,,,,,,,,,,,,
Eucalyptus camaldulensis,223,48,3-048,,,,,,,,,,,,,,,,,,,,
Eucalyptus camaldulensis,223,49,3-049,,,,,,,,,,,,,,,,,,,,
Eucalyptus camaldulensis,223,50,3-050,,,,,,,,,,,,,,,,,,,,
Eucalyptus globulus,223,51,3-051,,,,,,,,,,,,,,,,,,,,
Eucalyptus globulus,224,52,3-052,,,,,,,,,,,,,,,,,,,,
Eucalyptus globulus,224,53,3-053,,,,,,,,,,,,,,,,,,,,
Eucalyptus globulus,224,54,3-054,,,,,,,,,,,,,,,,,,,,
Eucalyptus grandis,224,55,3-055,,,,,,,,,,,,,,,,,,,,
Eucalyptus grandis,224,56,3-056,,,,,,,,,,,,,,,,,,,,
Eucalyptus grandis,224,57,3-057,,,,,,,,,,,,,,,,,,,,
Eucalyptus hybrid (Mysore Gum),225,58,3-058,,,,,,,,,,,,,,,,,,,,
Eucalyptus hybrid (Mysore Gum),225,59,3-059,,,,,,,,,,,,,,,,,,,,
Eucalyptus hybrid (Mysore Gum),225,60,3-060,,,,,,,,,,,,,,,,,,,,
Eucalyptus hybrid (Mysore Gum),225,61,3-061,,,,,,,,,,,,,,,,,,,,
Eucalyptus hybrid (Mysore Gum),225,62,3-062,,,,,,,,,,,,,,,,,,,,
Eucalyptus hybrid (Mysore Gum),225,63,3-063,,,,,,,,,,,,,,,,,,,,
Eucalyptus hybrid (Mysore Gum),225,64,3-064,,,,,,,,,,,,,,,,,,,,
Eucalyptus hybrid (Mysore Gum),225,65,3-065,,,,,,,,,,,,,,,,,,,,
Eucalyptus hybrid (Mysore Gum),226,66,3-066,,,,,,,,,,,,,,,,,,,,
Eucalyptus hybrid (Mysore Gum),226,67,3-067,,,,,,,,,,,,,,,,,,,,
Eucalyptus hybrid (Mysore Gum),226,68,3-068,,,,,,,,,,,,,,,,,,,,
Eucalyptus hybrid (Mysore Gum),226,69,3-069,,,,,,,,,,,,,,,,,,,,
Eucalyptus hybrid (Mysore Gum),226,70,3-070,,,,,,,,,,,,,,,,,,,,
Eucalyptus species,226,71,3-071,,,,,,,,,,,,,,,,,,,,
Eucalyptus species,227,72,3-072,,,,,,,,,,,,,,,,,,,,
Gmelina arborea,227,73,3-073,,,,,,,,,,,,,,,,,,,,
Gmelina arborea,227,74,3-074,,,,,,,,,,,,,,,,,,,,
Holoptelia integrifolia,228,75,3-075,,,,,,,,,,,,,,,,,,,,
Lagerstroemia lanceolata,228,76,3-076,G,1,state,Goa,,G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.049772+0.282077*(D^2)*H ,2.871,0.049772,0.282077,,,54,0.95558,,VUB,,
Lagerstroemia lanceolata,228,76,3-076,L,11,state,Goa,,L11,sqrt(V)=a+b*D+c*(D^2),(a+b*D+c*(D^2))^2,( -0.238101+2.997947*(D^2))^2 ,7.617,-0.238101,0,2.997947,,54,0.9568,,VUB,,
Lagerstroemia parviflora,228,77,3-077,G,1,state,Assam,,G1,V=a+b*(D^2)*H,a+b*(D^2)*H,#NAME?,3.042,-0.152267,0.3194,,,9,0.9575,,VUB,,
Lagerstroemia parviflora,228,77,3-077,L,5,state,Assam,,L5,sqrt(V)=a+b*D,(a+b*D)^2,(-0.396250+3.669093*D)^2 ,10.712,-0.39625,3.669093,,,9,0.9938,,VUB,,
Lannea coromandelica,229,78,3-078,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,229,79,3-079,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,229,80,3-080,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,229,81,3-081,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,229,82,3-082,,,,,,,,,,,,,,,,,,,,
Melanorrhoea usitata,230,83,3-083,,,,,,,,,,,,,,,,,,,,
Pinus caribaea and Pinus patula,230,84,3-084,,,,,,,,,,,,,,,,,,,,
Pinus caribaea and Pinus patula,230,85,3-085,,,,,,,,,,,,,,,,,,,,
Pinus caribaea and Pinus patula,230,86,3-086,,,,,,,,,,,,,,,,,,,,
Pinus wallichiana,231,87,3-087,,,,,,,,,,,,,,,,,,,,
Pinus khasiya,231,88,3-088,,,,,,,,,,,,,,,,,,,,
Pinus khasiya,231,89,3-089,,,,,,,,,,,,,,,,,,,,
Pinus khasiya,231,90,3-090,,,,,,,,,,,,,,,,,,,,
Pinus khasiya,231,91,3-091,,,,,,,,,,,,,,,,,,,,
Pinus khasiya,231,92,3-092,,,,,,,,,,,,,,,,,,,,
Pinus khasiya,231,93,3-093,,,,,,,,,,,,,,,,,,,,
Pinus khasiya,231,94,3-094,,,,,,,,,,,,,,,,,,,,
Poplar (Populus deltoides),232,95,3-095,,,,,,,,,,,,,,,,,,,,
Poplar (Populus deltoides),232,96,3-096,,,,,,,,,,,,,,,,,,,,
Populus ciliata,232,97,3-097,,,,,,,,,,,,,,,,,,,,
Populus ciliata,233,98,3-098,,,,,,,,,,,,,,,,,,,,
Populus ciliata,233,99,3-099,,,,,,,,,,,,,,,,,,,,
Pterocarpus marsupium,233,100,3-100,G,10,multi_state,,"Andhra Pradesh, Bihar, Maharashtra and Orissa.",G10,V=a+b*D^2+c*H+d*((D^2)*H),a+b*D^2+c*H+d*((D^2)*H),#NAME?,1.488,-0.178097,0.000457,1.660792,2.62E-05,728,,,,,
Shorea robusta,233,101,3-101,,,,,,,,,,,,,,,,,,,,
Shorea robusta,233,102,3-102,,,,,,,,,,,,,,,,,,,,
Abies densa,234,103,3-103,,,,,,,,,,,,,,,,,,,,
Abies pindrow,234,104,3-104,,,,,,,,,,,,,,,,,,,,
Syzygium cumini,234,105,3-105,,,,,,,,,,,,,,,,,,,,
Syzygium cumini,234,106,3-106,,,,,,,,,,,,,,,,,,,,
Tectona grandis,235,107,3-107,G,1,multi_state,,"Karnataka, Kerala, Madhya Pradesh, Orissa, Uttar Pradesh, Tamil Nadu ",G1,V=a+b*(D^2)*H,a+b*(D^2)*H,#NAME?,2.258,-0.0645,0.2322,,,2021,0.8602,,VUB,,
Tectona grandis,235,107,3-107,L,5,multi_state,,"Karnataka, Kerala, Madhya Pradesh, Orissa, Uttar Pradesh, Tamil Nadu ",L5,sqrt(V)=a+b*D,(a+b*D)^2,(-0.5514+3.8590*D)^2,10.94,-0.5514,3.859,,,2012,0.9569,,,,
Tectona grandis,235,108,3-108,L,5,national,,All India,L5,sqrt(V)=a+b*D,(a+b*D)^2,(-0.1163+2.8013*D)^2,7.209,-0.1163,2.8013,,,,0.9999,,,,
Tectona grandis,235,109,3-109,L,2,national,,All India,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.1657-1.1235*D+8.0855*(D^2),7.128,0.1657,-1.1235,8.0855,,,0.9999,,,,
Tectona grandis,235,110,3-110,X,,multi_state,,"Karnataka, Kerala, Madhya Pradesh, Maharastra, Tamil Nadu ",X,,,0.19601*K1+0.25659*((D^2)*H)-0.10787,,,,,,660,0.9781,"K1: Dummy Variable, V1 = Total tree volume (Standard Timber in m^3)",VUB_V1,,
Tectona grandis,235,110,3-110,X,,multi_state,,"Karnataka, Kerala, Madhya Pradesh, Maharastra, Tamil Nadu ",X,,,0.20416*K1+0.25514*((D^2)*H)+0.10375,,,,,,550,0.9741,"K1: Dummy Variable, V2 = Total tree volume in m^3",VUB_V2,,
Terminalia belerica,236,111,3-111,,,,,,,,,,,,,,,,,,,,
Terminalia tomentosa,236,112,3-112,G,6,multi_state,,"Bihar M.P., Karnataka, Orissa, U.P. and West Bengal.",G6,V=a+b*D+c*D^2+d*(D^2)*H,a+b*D+c*D^2+d*(D^2)*H,#NAME?,3.849,-0.1962,0,1.856495,0.218882,594,0.7137,,,,
Terminalia paniculata,236,113,3-113,G,1,state,,Goa,G1,V=a+b*(D^2)*H,a+b*(D^2)*H,#NAME?,2.968,-0.103241,0.307142,,,69,0.987,,,,
Terminalia paniculata,236,113,3-113,L,5,state,,Goa,L5,sqrt(V)=a+b*D,(a+b*D)^2,(-0.351539+3.215392*D)^2 ,8.202,-0.351539,3.215392,,,69,0.9488,,,,
Tetrameles nudiflora,237,114,3-114,,,,,,,,,,,,,,,,,,,,
Toona ciliata,237,115,3-115,,,,,,,,,,,,,,,,,,,,
Trewia nudifiora,237,116,3-116,,,,,,,,,,,,,,,,,,,,
Xylia xylocarpa,237,117,3-117,,,,,,,,,,,,,,,,,,,,
Zanthoxylum rhetsa,238,118,3-118,,,,,,,,,,,,,,,,,,,,
